[ 8758.140471] NVMeVirt: start_lpn=0, len=512, end_lpn=63, delay=8758140471421
[ 8758.140476] NVMeVirt: Write Buffer Latency: 107168
[ 8758.140490] NVMeVirt: NAND Write Latency: 223912
[ 8758.140491] NVMeVirt: Total Write Latency: 107168
[ 8758.140622] NVMeVirt: start_lpn=64, len=512, end_lpn=127, delay=145191
[ 8758.140623] NVMeVirt: Write Buffer Latency: 107168
[ 8758.140628] NVMeVirt: NAND Write Latency: 223912
[ 8758.140629] NVMeVirt: Total Write Latency: 107168
[ 8758.140748] NVMeVirt: start_lpn=128, len=512, end_lpn=191, delay=125391
[ 8758.140749] NVMeVirt: Write Buffer Latency: 107168
[ 8758.140753] NVMeVirt: NAND Write Latency: 223912
[ 8758.140753] NVMeVirt: Total Write Latency: 107168
[ 8758.140874] NVMeVirt: start_lpn=192, len=512, end_lpn=255, delay=124720
[ 8758.140875] NVMeVirt: Write Buffer Latency: 107168
[ 8758.140879] NVMeVirt: NAND Write Latency: 223912
[ 8758.140880] NVMeVirt: Total Write Latency: 107168
[ 8758.140999] NVMeVirt: start_lpn=256, len=512, end_lpn=319, delay=124201
[ 8758.141000] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141004] NVMeVirt: NAND Write Latency: 223912
[ 8758.141004] NVMeVirt: Total Write Latency: 107168
[ 8758.141124] NVMeVirt: start_lpn=320, len=512, end_lpn=383, delay=124340
[ 8758.141125] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141129] NVMeVirt: NAND Write Latency: 223912
[ 8758.141130] NVMeVirt: Total Write Latency: 107168
[ 8758.141250] NVMeVirt: start_lpn=384, len=512, end_lpn=447, delay=124971
[ 8758.141251] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141255] NVMeVirt: NAND Write Latency: 223912
[ 8758.141256] NVMeVirt: Total Write Latency: 107168
[ 8758.141373] NVMeVirt: start_lpn=448, len=512, end_lpn=511, delay=122020
[ 8758.141374] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141379] NVMeVirt: NAND Write Latency: 223912
[ 8758.141380] NVMeVirt: Total Write Latency: 107168
[ 8758.141499] NVMeVirt: start_lpn=512, len=512, end_lpn=575, delay=124601
[ 8758.141500] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141504] NVMeVirt: NAND Write Latency: 223912
[ 8758.141505] NVMeVirt: Total Write Latency: 107168
[ 8758.141626] NVMeVirt: start_lpn=576, len=512, end_lpn=639, delay=126031
[ 8758.141627] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141631] NVMeVirt: NAND Write Latency: 223912
[ 8758.141632] NVMeVirt: Total Write Latency: 107168
[ 8758.141754] NVMeVirt: start_lpn=640, len=512, end_lpn=703, delay=126860
[ 8758.141755] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141759] NVMeVirt: NAND Write Latency: 223912
[ 8758.141759] NVMeVirt: Total Write Latency: 107168
[ 8758.141880] NVMeVirt: start_lpn=704, len=512, end_lpn=767, delay=125511
[ 8758.141882] NVMeVirt: Write Buffer Latency: 107168
[ 8758.141886] NVMeVirt: NAND Write Latency: 223912
[ 8758.141887] NVMeVirt: Total Write Latency: 107168
[ 8758.142007] NVMeVirt: start_lpn=768, len=512, end_lpn=831, delay=125520
[ 8758.142008] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142012] NVMeVirt: NAND Write Latency: 223912
[ 8758.142013] NVMeVirt: Total Write Latency: 107168
[ 8758.142133] NVMeVirt: start_lpn=832, len=512, end_lpn=895, delay=125471
[ 8758.142134] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142139] NVMeVirt: NAND Write Latency: 223912
[ 8758.142140] NVMeVirt: Total Write Latency: 107168
[ 8758.142260] NVMeVirt: start_lpn=896, len=512, end_lpn=959, delay=125550
[ 8758.142261] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142265] NVMeVirt: NAND Write Latency: 223912
[ 8758.142266] NVMeVirt: Total Write Latency: 107168
[ 8758.142387] NVMeVirt: start_lpn=960, len=512, end_lpn=1023, delay=125561
[ 8758.142388] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142392] NVMeVirt: NAND Write Latency: 223912
[ 8758.142393] NVMeVirt: Total Write Latency: 107168
[ 8758.142513] NVMeVirt: start_lpn=1024, len=512, end_lpn=1087, delay=125441
[ 8758.142514] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142519] NVMeVirt: NAND Write Latency: 223912
[ 8758.142520] NVMeVirt: Total Write Latency: 107168
[ 8758.142639] NVMeVirt: start_lpn=1088, len=512, end_lpn=1151, delay=124570
[ 8758.142640] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142644] NVMeVirt: NAND Write Latency: 223912
[ 8758.142645] NVMeVirt: Total Write Latency: 107168
[ 8758.142764] NVMeVirt: start_lpn=1152, len=512, end_lpn=1215, delay=123941
[ 8758.142765] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142769] NVMeVirt: NAND Write Latency: 223912
[ 8758.142769] NVMeVirt: Total Write Latency: 107168
[ 8758.142890] NVMeVirt: start_lpn=1216, len=512, end_lpn=1279, delay=124820
[ 8758.142891] NVMeVirt: Write Buffer Latency: 107168
[ 8758.142895] NVMeVirt: NAND Write Latency: 223912
[ 8758.142896] NVMeVirt: Total Write Latency: 107168
[ 8758.143015] NVMeVirt: start_lpn=1280, len=512, end_lpn=1343, delay=124461
[ 8758.143016] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143020] NVMeVirt: NAND Write Latency: 223912
[ 8758.143021] NVMeVirt: Total Write Latency: 107168
[ 8758.143141] NVMeVirt: start_lpn=1344, len=512, end_lpn=1407, delay=124650
[ 8758.143142] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143145] NVMeVirt: NAND Write Latency: 223912
[ 8758.143146] NVMeVirt: Total Write Latency: 107168
[ 8758.143266] NVMeVirt: start_lpn=1408, len=512, end_lpn=1471, delay=124291
[ 8758.143267] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143271] NVMeVirt: NAND Write Latency: 223912
[ 8758.143272] NVMeVirt: Total Write Latency: 107168
[ 8758.143392] NVMeVirt: start_lpn=1472, len=512, end_lpn=1535, delay=124711
[ 8758.143393] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143398] NVMeVirt: NAND Write Latency: 223912
[ 8758.143398] NVMeVirt: Total Write Latency: 107168
[ 8758.143519] NVMeVirt: start_lpn=1536, len=512, end_lpn=1599, delay=126790
[ 8758.143521] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143525] NVMeVirt: NAND Write Latency: 223912
[ 8758.143526] NVMeVirt: Total Write Latency: 107168
[ 8758.143648] NVMeVirt: start_lpn=1600, len=512, end_lpn=1663, delay=126981
[ 8758.143649] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143653] NVMeVirt: NAND Write Latency: 223912
[ 8758.143654] NVMeVirt: Total Write Latency: 107168
[ 8758.143774] NVMeVirt: start_lpn=1664, len=512, end_lpn=1727, delay=125570
[ 8758.143775] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143779] NVMeVirt: NAND Write Latency: 223912
[ 8758.143780] NVMeVirt: Total Write Latency: 107168
[ 8758.143901] NVMeVirt: start_lpn=1728, len=512, end_lpn=1791, delay=125851
[ 8758.143902] NVMeVirt: Write Buffer Latency: 107168
[ 8758.143907] NVMeVirt: NAND Write Latency: 223912
[ 8758.143908] NVMeVirt: Total Write Latency: 107168
[ 8758.144028] NVMeVirt: start_lpn=1792, len=512, end_lpn=1855, delay=125270
[ 8758.144029] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144032] NVMeVirt: NAND Write Latency: 223912
[ 8758.144033] NVMeVirt: Total Write Latency: 107168
[ 8758.144155] NVMeVirt: start_lpn=1856, len=512, end_lpn=1919, delay=126341
[ 8758.144156] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144160] NVMeVirt: NAND Write Latency: 223912
[ 8758.144161] NVMeVirt: Total Write Latency: 107168
[ 8758.144284] NVMeVirt: start_lpn=1920, len=512, end_lpn=1983, delay=127891
[ 8758.144285] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144288] NVMeVirt: NAND Write Latency: 223912
[ 8758.144289] NVMeVirt: Total Write Latency: 107168
[ 8758.144410] NVMeVirt: start_lpn=1984, len=512, end_lpn=2047, delay=125390
[ 8758.144411] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144416] NVMeVirt: NAND Write Latency: 223912
[ 8758.144417] NVMeVirt: Total Write Latency: 107168
[ 8758.144537] NVMeVirt: start_lpn=2048, len=512, end_lpn=2111, delay=125511
[ 8758.144538] NVMeVirt: Write Buffer Latency: 107168
