[ 1972.185809] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1972.185829] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1972.185929] NVMeVirt: CPU10: read_lat=249231, buffer_lat=5612, write_lat=0
[ 1972.186200] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1972.186284] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1972.186297] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1972.186380] NVMeVirt: CPU10: read_lat=266871, buffer_lat=5612, write_lat=0
[ 1972.186659] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1972.186743] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1972.186755] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1972.186838] NVMeVirt: CPU10: read_lat=266742, buffer_lat=5612, write_lat=0
[ 1972.187117] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
