[  979.770472] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[  979.770586] NVMeVirt: CPU10: read_lat=70969, buffer_lat=8836, write_lat=223912
[  979.770678] NVMeVirt: CPU10: read_lat=259886, buffer_lat=5612, write_lat=0
[ 1008.954041] NVMeVirt: CPU10: read_lat=70969, buffer_lat=7224, write_lat=223912
[ 1008.954146] NVMeVirt: CPU10: read_lat=254884, buffer_lat=5612, write_lat=0
[ 1010.489988] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=0
[ 1010.489992] NVMeVirt: CPU10: read_lat=86969, buffer_lat=7224, write_lat=223912
[ 1034.553748] NVMeVirt: CPU10: read_lat=91959, buffer_lat=16896, write_lat=223912
[ 1034.553877] NVMeVirt: CPU10: read_lat=70969, buffer_lat=5612, write_lat=223912
[ 1065.275116] NVMeVirt: CPU10: read_lat=82969, buffer_lat=5612, write_lat=0
[ 1065.275120] NVMeVirt: CPU10: read_lat=90969, buffer_lat=5612, write_lat=223912
[ 1070.907358] NVMeVirt: CPU10: read_lat=79959, buffer_lat=26568, write_lat=223912
[ 1070.907487] NVMeVirt: CPU10: read_lat=82969, buffer_lat=5612, write_lat=223912
[ 1076.950948] NVMeVirt: CPU10: read_lat=91959, buffer_lat=34628, write_lat=223912
[ 1076.951097] NVMeVirt: CPU10: read_lat=257308, buffer_lat=5612, write_lat=0
[ 1101.629515] NVMeVirt: CPU10: read_lat=0, buffer_lat=7224, write_lat=0
[ 1101.629521] NVMeVirt: CPU10: read_lat=82969, buffer_lat=5612, write_lat=223912
[ 1101.629524] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1101.629527] NVMeVirt: CPU10: read_lat=130969, buffer_lat=5612, write_lat=223912
[ 1101.629529] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1101.629532] NVMeVirt: CPU10: read_lat=404882, buffer_lat=5612, write_lat=223912
[ 1101.629534] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1101.629536] NVMeVirt: CPU10: read_lat=358402, buffer_lat=5612, write_lat=243912
[ 1101.629538] NVMeVirt: CPU10: read_lat=0, buffer_lat=8836, write_lat=0
[ 1101.629540] NVMeVirt: CPU10: read_lat=457791, buffer_lat=5612, write_lat=223912
[ 1101.629542] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1101.629544] NVMeVirt: CPU10: read_lat=661585, buffer_lat=5612, write_lat=223912
[ 1101.629546] NVMeVirt: CPU10: read_lat=950078, buffer_lat=5612, write_lat=0
[ 1101.629548] NVMeVirt: CPU10: read_lat=1009737, buffer_lat=5612, write_lat=223912
[ 1101.629550] NVMeVirt: CPU10: read_lat=720854, buffer_lat=7224, write_lat=0
