[ 1397.569259] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1397.569291] NVMeVirt: CPU10: read_lat=0, buffer_lat=8836, write_lat=0
[ 1397.569305] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=223912
[ 1402.689285] NVMeVirt: CPU10: read_lat=0, buffer_lat=7224, write_lat=0
[ 1453.574136] NVMeVirt: CPU10: read_lat=0, buffer_lat=26568, write_lat=223912
[ 1453.574169] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009417] NVMeVirt: CPU10: read_lat=0, buffer_lat=7224, write_lat=0
[ 1459.009419] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009421] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009423] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009425] NVMeVirt: CPU10: read_lat=0, buffer_lat=7224, write_lat=223912
[ 1459.009427] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009428] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009430] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009433] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009435] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1459.009436] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1465.665417] NVMeVirt: CPU10: read_lat=0, buffer_lat=24956, write_lat=223912
[ 1465.665454] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1471.809426] NVMeVirt: CPU10: read_lat=0, buffer_lat=26568, write_lat=223912
[ 1471.809431] NVMeVirt: CPU10: read_lat=0, buffer_lat=13612, write_lat=0
[ 1471.809463] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929401] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929405] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929407] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929410] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929412] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=223912
[ 1476.929414] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929416] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
[ 1476.929417] NVMeVirt: CPU10: read_lat=0, buffer_lat=5612, write_lat=0
